target_id,브랜드,모델명,컬러웨이,한국 사이즈,KREAM 가격,가격 유형,상품 URL,상품명,수집일,상태,메모
SH-009,Adidas,Gazelle Indoor,Blue Bird,240,81000,체결 거래,https://kream.co.kr/products/74717,Adidas Gazelle Indoor Blue Bird,2026-05-21,DS,거래시점: 26/05/09
SH-010,Jordan,4 Retro,Military Black,260,379000,체결 거래,https://kream.co.kr/products/686901,Jordan 4 Military Black,2026-05-21,DS,거래시점: 3시간 전
SH-010,Jordan,4 Retro,Military Black,265,350000,체결 거래,https://kream.co.kr/products/686901,Jordan 4 Military Black,2026-05-21,DS,거래시점: 12시간 전
SH-010,Jordan,4 Retro,Military Black,280,377000,체결 거래,https://kream.co.kr/products/686901,Jordan 4 Military Black,2026-05-21,DS,거래시점: 13시간 전
SH-010,Jordan,4 Retro,Military Black,280,398000,체결 거래,https://kream.co.kr/products/686901,Jordan 4 Military Black,2026-05-21,DS,거래시점: 16시간 전
SH-010,Jordan,4 Retro,Military Black,265,364000,체결 거래,https://kream.co.kr/products/686901,Jordan 4 Military Black,2026-05-21,DS,거래시점: 26/05/19
SH-011,Jordan,4 Retro,White Thunder,270,380000,체결 거래,https://kream.co.kr/products/331837,Jordan 4 White Thunder,2026-05-21,DS,거래시점: 26/05/19
SH-011,Jordan,4 Retro,White Thunder,270,455000,체결 거래,https://kream.co.kr/products/331837,Jordan 4 White Thunder,2026-05-21,DS,거래시점: 26/05/17
SH-011,Jordan,4 Retro,White Thunder,280,390000,체결 거래,https://kream.co.kr/products/331837,Jordan 4 White Thunder,2026-05-21,DS,거래시점: 26/05/13
SH-011,Jordan,4 Retro,White Thunder,275,382000,체결 거래,https://kream.co.kr/products/331837,Jordan 4 White Thunder,2026-05-21,DS,거래시점: 26/05/13
SH-011,Jordan,4 Retro,White Thunder,300,350000,체결 거래,https://kream.co.kr/products/331837,Jordan 4 White Thunder,2026-05-21,DS,거래시점: 26/05/08
SH-012,New Balance,990v4,Gray,270,252000,체결 거래,https://kream.co.kr/products/129272,New Balance 990v4 Gray,2026-05-21,DS,거래시점: 38분 전
SH-012,New Balance,990v4,Gray,245,219000,체결 거래,https://kream.co.kr/products/129272,New Balance 990v4 Gray,2026-05-21,DS,거래시점: 40분 전
SH-012,New Balance,990v4,Gray,270,300000,체결 거래,https://kream.co.kr/products/129272,New Balance 990v4 Gray,2026-05-21,DS,거래시점: 4시간 전
SH-012,New Balance,990v4,Gray,280,219000,체결 거래,https://kream.co.kr/products/129272,New Balance 990v4 Gray,2026-05-21,DS,거래시점: 26/05/19
SH-012,New Balance,990v4,Gray,250,188000,체결 거래,https://kream.co.kr/products/129272,New Balance 990v4 Gray,2026-05-21,DS,거래시점: 26/05/19
SH-013,Nike,Air Max 95,Neon,290,325000,체결 거래,https://kream.co.kr/products/473130,Nike Air Max 95 Neon,2026-05-21,DS,거래시점: 1시간 전
SH-013,Nike,Air Max 95,Neon,270,282000,체결 거래,https://kream.co.kr/products/473130,Nike Air Max 95 Neon,2026-05-21,DS,거래시점: 4시간 전
SH-013,Nike,Air Max 95,Neon,265,252000,체결 거래,https://kream.co.kr/products/473130,Nike Air Max 95 Neon,2026-05-21,DS,거래시점: 4시간 전
SH-013,Nike,Air Max 95,Neon,270,278000,체결 거래,https://kream.co.kr/products/473130,Nike Air Max 95 Neon,2026-05-21,DS,거래시점: 9시간 전
SH-013,Nike,Air Max 95,Neon,285,318000,체결 거래,https://kream.co.kr/products/473130,Nike Air Max 95 Neon,2026-05-21,DS,거래시점: 9시간 전
SH-014,Adidas,Yeezy Boost 350 V2,Zebra,280,495000,체결 거래,https://kream.co.kr/products/9654,Yeezy Boost 350 V2 Zebra,2026-05-21,DS,거래시점: 19시간 전
SH-014,Adidas,Yeezy Boost 350 V2,Zebra,290,456000,체결 거래,https://kream.co.kr/products/9654,Yeezy Boost 350 V2 Zebra,2026-05-21,DS,거래시점: 26/05/19
SH-014,Adidas,Yeezy Boost 350 V2,Zebra,275,410000,체결 거래,https://kream.co.kr/products/9654,Yeezy Boost 350 V2 Zebra,2026-05-21,DS,거래시점: 26/05/19
SH-014,Adidas,Yeezy Boost 350 V2,Zebra,275,484000,체결 거래,https://kream.co.kr/products/9654,Yeezy Boost 350 V2 Zebra,2026-05-21,DS,거래시점: 26/05/16
SH-014,Adidas,Yeezy Boost 350 V2,Zebra,260,402000,체결 거래,https://kream.co.kr/products/9654,Yeezy Boost 350 V2 Zebra,2026-05-21,DS,거래시점: 26/05/15
SH-015,Nike,Dunk Low,Gray Fog,270,105000,체결 거래,https://kream.co.kr/products/41193,Nike Dunk Low Gray Fog,2026-05-21,DS,거래시점: 1시간 전
SH-015,Nike,Dunk Low,Gray Fog,295,92000,체결 거래,https://kream.co.kr/products/41193,Nike Dunk Low Gray Fog,2026-05-21,DS,거래시점: 2시간 전
SH-015,Nike,Dunk Low,Gray Fog,250,161000,체결 거래,https://kream.co.kr/products/41193,Nike Dunk Low Gray Fog,2026-05-21,DS,거래시점: 5시간 전
